list_placement,id,title,author_id,author_name,avg_rating,number_of_ratings,list_score,number_of_list_votes
199,58696,David Copperfield,239579,Charles Dickens,4.0,199261,72681,956
200,6350972,Tote Mädchen lügen nicht,569269,Jay Asher,3.92,773422,71281,817
201,37442,Wicked: The Life and Times of the Wicked Witch of the West,7025,Gregory Maguire,3.54,573862,70159,848
202,402093,Shōgun,6417,James Clavell,4.39,147020,68575,839
203,4588,Extremely Loud &amp; Incredibly Close,2617,Jonathan Safran Foer,3.97,380319,68087,780
204,853510,Murder on the Orient Express,123715,Agatha Christie,4.17,382029,68059,884
205,18116,His Dark Materials,3618,Philip Pullman,4.25,143832,67430,787
206,37470,The Other Boleyn Girl,9987,Philippa Gregory,4.07,455968,67337,826
207,3008,A Little Princess,2041,Frances Hodgson Burnett,4.2,271903,67318,856
208,375013,Schindler&#39;s List,6900,Thomas Keneally,4.34,144449,67105,884
209,39999,The Boy in the Striped Pajamas,7195,John Boyne,4.15,519102,66847,829
210,40604658,Jurassic Park,5194,Michael Crichton,4.04,803362,65924,825
211,9361589,The Night Circus,4370565,Erin Morgenstern,4.03,686021,65923,747
212,6487308,Fallen,2905297,Lauren Kate,3.73,494859,65636,760
213,6527740,Last Sacrifice,137902,Richelle Mead,4.39,255225,65455,768
214,7332,The Silmarillion,656983,J.R.R. Tolkien,3.93,219727,64365,776
215,514811,The Secret Magdalene,286014,Ki Longfellow,4.07,4263,63985,657
216,6149,Beloved,3534,Toni Morrison,3.87,325846,63964,795
217,10507293,The Selection,2987125,Kiera Cass,4.13,894853,63230,718
218,17690,The Trial,5223,Franz Kafka,3.96,234981,63048,775
219,310612,A Confederacy of Dunces,3049,John Kennedy Toole,3.89,231222,63046,727
220,3876,The Sun Also Rises,1455,Ernest Hemingway,3.82,366143,63039,801
221,144974,The Velveteen Rabbit,83846,Margery Williams Bianco,4.29,221742,62439,837
222,6148028,Catching Fire,153394,Suzanne Collins,4.29,2517830,62104,761
223,7736182,The Lost Hero,15872,Rick Riordan,4.33,625365,61853,748
224,7896527,Throne of Glass,3433047,Sarah J. Maas,4.2,598201,61521,687
225,6479259,Spirit Bound,137902,Richelle Mead,4.35,260391,61043,723
226,10025305,Clockwork Prince,150038,Cassandra Clare,4.44,442602,60677,717
227,1375,The Iliad/The Odyssey,903,Homer,4.04,62827,59891,793
228,17250,The Crucible,8120,Arthur  Miller,3.59,323609,59737,795
229,135479,Cat&#39;s Cradle,2778055,Kurt Vonnegut Jr.,4.16,339106,59087,720
230,9777,The God of Small Things,6134,Arundhati Roy,3.94,244587,58460,689
231,5659,The Wind in the Willows,3843,Kenneth Grahame,3.98,179675,57971,775
232,8130077,The Screwtape Letters,1069006,C.S. Lewis,4.22,332455,57848,713
233,2865,Girl with a Pearl Earring,1973,Tracy Chevalier,3.89,627405,57743,752
234,561909,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,102203,Corrie ten Boom,4.42,257726,57543,687
235,30118,A Light in the Attic,435477,Shel Silverstein,4.34,374525,57026,757
236,6068551,Shiver,1330292,Maggie Stiefvater,3.77,431481,56736,659
237,23807,The Silence of the Lambs,12455,Thomas  Harris,4.2,464094,56705,734
238,24770,Uglies,13957,Scott Westerfeld,3.86,560674,56436,671
239,6752378,City of Fallen Angels,150038,Cassandra Clare,4.12,481797,56434,703
240,4069,Man&#39;s Search for Meaning,2782,Viktor E. Frankl,4.36,402245,56368,658
241,5203,She&#39;s Come Undone,3505,Wally Lamb,3.88,316409,55867,676
242,480204,The Phantom of the Opera,9057,Gaston Leroux,3.96,199083,54690,705
243,12691,Marley and Me: Life and Love With the World&#39;s Worst Dog,8002,John Grogan,4.13,440905,54671,686
244,24337,Ella Enchanted,13677,Gail Carson Levine,3.98,387214,54609,680
245,11275,The Wind-Up Bird Chronicle,3354,Haruki Murakami,4.16,218529,54379,610
246,36381037,Cinder,4684322,Marissa Meyer,4.14,683804,53846,622
247,11566,The Green Mile,3389,Stephen King,4.45,249107,53135,683
248,10572,A Clash of Kings,346732,George R.R. Martin,4.41,789077,53045,653
249,40495148,Blindness,1285555,José Saramago,4.13,201055,52960,612
250,10975,The Sound and the Fury,3535,William Faulkner,3.86,158522,52790,661
251,40874325,The Shack,15481463,William Paul Young,3.78,539083,52267,622
252,30183,Marked,17015,P.C. Cast,3.8,430645,51987,613
253,39832183,The Guernsey Literary and Potato Peel Pie Society,1194527,Mary Ann Shaffer,4.17,611438,51311,627
254,7745,Fear and Loathing in Las Vegas,5237,Hunter S. Thompson,4.08,299185,51295,620
255,46170,For Whom the Bell Tolls,1455,Ernest Hemingway,3.97,249294,51234,699
256,9328,The House of the Spirits,2238,Isabel Allende,4.24,190213,50916,640
257,24812,The Complete Calvin and Hobbes,13778,Bill Watterson,4.82,34921,50709,632
258,546018,Roots: The Saga of an American Family,17434,Alex Haley,4.43,146347,50100,658
259,10614,Misery,3389,Stephen King,4.17,499413,50005,652
260,6294,Howl&#39;s Moving Castle,4260,Diana Wynne Jones,4.26,216421,49956,597
261,350,Stranger in a Strange Land,205,Robert A. Heinlein,3.92,275653,49644,618
262,41044096,Island of the Blue Dolphins,4999,Scott O&#39;Dell,3.84,291998,49491,638
263,4502877,Midnight Sun [2008 Draft],941441,Stephenie Meyer,4.02,146436,48719,572
264,29044,The Secret History,8719,Donna Tartt,4.09,316487,48530,560
265,6892870,The Girl Who Kicked the Hornet&#39;s Nest,706255,Stieg Larsson,4.22,646216,48400,621
266,32234,White Oleander,3540,Janet Fitch,3.97,321857,48197,600
267,48855,The Diary of a Young Girl,3720,Anne Frank,4.15,2745447,48172,622
268,11614718,Delirium,2936493,Lauren Oliver,3.97,417041,47759,548
269,11505797,Beautiful Disaster,4464118,Jamie McGuire,4.09,547397,47680,537
270,12996,Othello,947,William Shakespeare,3.9,315470,47570,684
271,6801755,Flow Down Like Silver: Hypatia of Alexandria,286014,Ki Longfellow,4.39,2393,47531,491
272,6442769,Paper Towns,1406384,John Green,3.8,920796,47461,558
273,43814,The Vampire Lestat,7577,Anne Rice,4.07,176924,47171,604
274,39280444,Speak,10003,Laurie Halse Anderson,4.02,485100,47165,581
275,12505,The Idiot,3137322,Fyodor Dostoyevsky,4.18,132809,47126,601
276,12938,King Lear,947,William Shakespeare,3.91,180903,46840,643
277,43545,The Once and Future King,426944,T.H. White,4.05,100535,46527,578
278,227711,I Know This Much Is True,3505,Wally Lamb,4.19,289660,46411,554
279,14497,Neverwhere,1221698,Neil Gaiman,4.17,430304,46183,566
280,1845,Into the Wild,1235,Jon Krakauer,3.99,879984,46018,583
281,28194,Inkheart,15873,Cornelia Funke,3.88,369996,45825,580
282,46787,Uncle Tom&#39;s Cabin,26242,Harriet Beecher Stowe,3.87,198064,45654,636
283,28881,"Lamb: The Gospel According to Biff, Christ&#39;s Childhood Pal",16218,Christopher Moore,4.24,151259,45600,510
284,30236962,The Historian,5918,Elizabeth Kostova,3.79,242772,44785,542
285,188572,The Complete Sherlock Holmes,2448,Arthur Conan Doyle,4.48,174568,44539,580
286,19380,Candide,5754446,Voltaire,3.77,219772,44189,582
287,6689,James and the Giant Peach,4273,Roald Dahl,4.02,379257,44080,619
288,16981,Invisible Man,7508,Ralph Ellison,3.88,156858,43994,556
289,19288043,Gone Girl,2383,Gillian Flynn,4.08,2332368,43808,534
290,2184798,Blood River: A Journey to Africa&#39;s Broken Heart,534082,Tim Butcher,4.06,7612,43724,441
291,32085,All Creatures Great and Small,18062,James Herriot,4.32,114739,43633,579
292,15997,Paradise Lost,9876,John Milton,3.81,137130,43555,589
293,27494,Leaves of Grass,1438,Walt Whitman,4.12,89901,43537,591
294,3236307,Graceling,1373880,Kristin Cashore,4.07,385331,43348,513
295,569564,The Complete Works,947,William Shakespeare,4.5,50181,42988,559
296,40440,The Thirteenth Tale,22665,Diane Setterfield,3.97,272574,42961,522
297,11297,Norwegian Wood,3354,Haruki Murakami,4.03,348042,42887,494
298,29579,Foundation,16667,Isaac Asimov,4.17,410294,42851,525
299,133518,The Things They Carried,2330,Tim O&#39;Brien,4.13,253296,42780,523
300,4687,The Cider House Rules,3075,John Irving,4.13,161365,42690,573
301,2493,The Time Machine,880695,H.G. Wells,3.89,413531,42650,595
302,39662,Different Seasons,3389,Stephen King,4.34,177014,42522,573
303,4929,Kafka on the Shore,3354,Haruki Murakami,4.13,306352,41829,475
304,93,Heidi,49,Johanna Spyri,3.99,172643,41699,582
305,37732,"Are You There God? It&#39;s Me, Margaret",12942,Judy Blume,3.9,189490,41526,555
306,8755776,City of Lost Souls,150038,Cassandra Clare,4.27,424829,41154,513
307,10959,Sophie&#39;s World,1388082,Jostein Gaarder,3.93,200609,41017,497
308,16902,Walden,10264,Henry David Thoreau,3.78,158139,40603,543
309,1215032,The Wise Man&#39;s Fear,108424,Patrick Rothfuss,4.56,428576,40195,443
310,40937505,زندگی مه آلود پریا,18235662,سید مرتضی مصطفوی,3.92,948,39342,396
311,58345,The Awakening,5132,Kate Chopin,3.65,170751,39307,501
312,16068905,Fangirl,4208569,Rainbow Rowell,4.05,575873,39173,450
313,228560,Sophie&#39;s Choice,7565,William Styron,4.18,81760,38844,528
314,16735,The Prince of Tides,6942,Pat Conroy,4.23,193994,38129,502
315,6334,Never Let Me Go,4280,Kazuo Ishiguro,3.82,472476,38106,467
316,9520360,The Son of Neptune,15872,Rick Riordan,4.43,413615,37699,476
317,301082,Dead Until Dark,17061,Charlaine Harris,3.96,496296,37299,470
318,9375,Fried Green Tomatoes at the Whistle Stop Cafe,6125,Fannie Flagg,4.28,266053,37166,518
319,11857408,Fifty Shades Darker,4725841,E.L. James,3.84,745900,37096,439
320,9969571,Ready Player One,31712,Ernest Cline,4.26,862390,36900,411
321,19089,Middlemarch,173,George Eliot,3.97,135771,36618,457
322,44186,The Monster at the End of this Book,24824,Jon Stone,4.44,120047,36511,451
323,17927395,A Court of Mist and Fury,3433047,Sarah J. Maas,4.62,334488,36424,393
324,37781,Things Fall Apart,8051,Chinua Achebe,3.68,288397,36188,467
325,227443,Bridget Jones&#39;s Diary,3090,Helen Fielding,3.78,881905,36092,497
326,14942,Mrs. Dalloway,6765,Virginia Woolf,3.79,223776,35980,477
327,7260188,Mockingjay,153394,Suzanne Collins,4.04,2351652,35966,464
328,5113,Franny and Zooey,819789,J.D. Salinger,3.98,185672,35744,457
329,122,The Power of One,63,Bryce Courtenay,4.33,79386,35295,404
330,65605,The Magician&#39;s Nephew,1069006,C.S. Lewis,4.04,411172,35192,488
331,16793,Stardust,1221698,Neil Gaiman,4.08,359171,35091,452
332,32542,A Time to Kill,721,John Grisham,4.08,704393,35059,473
333,43615,The Gunslinger,3389,Stephen King,3.95,515537,34913,430
334,47281,Number the Stars,2493,Lois Lowry,4.15,448988,34665,456
335,36402034,Do Androids Dream of Electric Sheep?,4764,Philip K. Dick,4.08,346212,34468,445
336,18710190,Allegiant,4039811,Veronica Roth,3.62,827969,34417,422
